,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
101,Jamaica,America - Central,Central and South America,America,2000,[2000],44.22899354,23.32343,26.454290000000004,14.21386649,2.603,3.9966718930000003,9.0,1.478474522,,81.40000153,3410.0,3479.0567539999997,99.71640305,0.058952908,,,13868.05696,,,19.9,10.59553477,3.106463921,70.479,,,4.5,24.328000000000003,,,,,,0.584824601,2581648.0,234.887,,100.329,,341.1094692,,,89.0,9008629729.0,189.4557592,,,51.81399999999999,1.048708195,10318.0,86.0,81.0,88.0,43.0,0.0,0.0,84.0,95.0,41.0,107.0,625.0,78.125
102,Japan,Asia - Eastern,Asia,East Asia & Pacific,2000,[2000],14.42524005,23.077189999999998,21.91883,53.12138826,1.3219999999999998,9.699960096,10.0,4.090515181000001,10.8773781,66.5,248760.0,37291.70616,2290.3860050000003,28.688668300000003,21.93000031,9.531086012000001,57119.20031,,,3.3,-1.2475980979999999,29.71896567,81.35,,,1.200000048,41.381,1.9,0.5748762,0.6513208,0.4982094,2.031956173,0.17355637,125720310.0,332.705,,100.575,,2035.523705,13.48426,,5.0,4730000000000.0,2834.20968,1.454402961,7.441552000000001,78.649,0.334654417,1219482.0,2.0,156.0,16.0,31.0,155.0,2.0,26.0,1.0,24.0,186.0,599.0,59.9
103,Jersey,Europe - Northern,Europe,Europe & Central Asia,2000,[2000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88915.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
104,Jordan,Asia - Western,Asia,Middle East & North Africa,2000,[2000],12.11468722,26.71033,29.05078,8.057618908,4.053,3.212352381,-2.0,1.014211777,41.81206152,19.20000076,980.0,1764.2298920000003,81.2452912,8.042914801,,68.47639521,7329.115062000001,,,23.2,-0.39594471700000006,2.639458529,71.72399999999999,,,,19.73,,,,,,2.4690007069999997,4827096.0,54.028999999999996,,102.419,,396.3851578,,18.99115133,35.0,8463892909.0,169.2226234,-26.66433368,,79.808,2.8312740080000003,15506.333330000001,88.0,163.0,131.0,113.0,63.0,143.0,121.0,79.0,121.0,114.0,1136.0,113.6
105,Kazakhstan,Asia - Central,Asia,Europe & Central Asia,2000,[2000],76.58962107,25.09305,25.67814,1.3191417840000002,1.922,8.541838638,-4.0,2.397202335,56.60242679999999,88.59999847,33650.0,1229.000958,25.91916865,3.578615077,,49.09726583,10732.0491,,,38.1,17.42640268,0.671876725,63.513000000000005,,,,27.735,3.292,17.21426,0.0,0.0,0.494761743,-0.300548838,14956694.0,5.489,,101.686,,317.04452589999994,34.72204,10.22139507,33.0,18291990619.0,50.96332432,7.505160965,11.36703,55.729,-0.36942998899999996,127757.6667,67.0,9.0,51.0,124.0,34.0,107.0,102.0,129.0,191.0,162.0,976.0,122.0
106,Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,2000,[2000],46.86193204,21.1697,22.46548,0.407644522,5.012,0.333304526,-2.0,0.43916331700000005,21.58757114,83.30000305,35820.0,406.5230596,8.80818417,3.8795265189999997,,31.72147324,2636.979742,,,68.4,6.0798484870000005,0.318059714,52.864,82.22907531,92.52817587,,17.439,,,,,,2.565274051,31253701.0,53.852,,97.602,,26.68406243,,16.83114396,105.0,12691278914.0,19.0362959,-10.13390211,,19.892,4.216679357,10417.0,77.0,73.0,151.0,113.0,123.0,50.0,162.0,159.0,122.0,108.0,1138.0,113.8
107,Kiribati,Oceania,Oceania,East Asia & Pacific,2000,[2000],41.97530864,27.9735,29.58238,0.357100345,3.8810000000000002,0.39281038,,,6.88190099,,120.0,812.2820767999999,60.9313246,,,46.81425974,7003.2935290000005,,,53.6,0.29991324,1.785225474,64.642,,,,,,,,,,1.784667925,84010.0,115.71600000000001,,106.195,,,,,70.8,68239320.7,64.41062637,-39.93230867,,42.958,4.881142304,33.0,178.0,86.0,126.0,0.0,160.0,100.0,123.0,125.0,68.0,4.0,970.0,107.77777777777777
108,Kuwait,Asia - Western,Asia,Middle East & North Africa,2000,[2000],8.305274972000001,28.032909999999998,30.14044,24.52614559,2.8689999999999998,28.42971868,-7.0,9.689597411,56.47363983,52.90000153,50.0,19434.400019999997,370.4013255,0.170373033,,30.14693172,72795.91984,,,11.1,20.5264697,6.731395768,73.133,,,,28.9,,0.9562255999999999,1.236805,0.528559,5.351955342,4.401391498,1940786.0,108.92299999999999,,103.022,,6935.3757049999995,2.436784,,20.0,37718011469.0,487.5397146000001,26.32670811,23.67623,98.11,4.415050569,55176.0,51.0,172.0,103.0,141.0,35.0,46.0,13.0,64.0,75.0,143.0,843.0,84.3
109,Kyrgyzstan,Asia - Central,Asia,Europe & Central Asia,2000,[2000],55.86027112,24.22082,25.19772,,2.674,,-3.0,,,75.59999847,8580.0,,,14.78045345,,47.58290743,3055.6446170000004,,,,,,66.232,,,,22.47,,9.512867,14.703429999999999,4.563915,,,4954850.0,,,,,484.72418160000007,11.9232,11.74379425,34.0,,,-5.7351883720000005,9.201426,,,,0.0,52.0,92.0,119.0,0.0,103.0,157.0,122.0,0.0,0.0,645.0,107.5
110,Lao,Asia - Eastern,Asia,East Asia & Pacific,2000,[2000],,,,,,,,,,,,325.5930951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
111,Latvia,Europe - Northern,Europe,Europe & Central Asia,2000,[2000],25.53465187,25.48263,25.04125,16.82501933,1.178,2.616662446,8.0,1.5652745380000002,41.64179343,84.0,32410.0,3300.934656,106.9139294,3.9591224019999998,,48.67435835,17298.448809999998,,,14.4,4.185928079,6.350982469,70.16,99.74656994,99.7502644,,37.972,3.2039999999999997,11.40277,18.083389999999998,5.593057,,-0.734636293,2384972.0,36.919000000000004,,100.99,,500.47345779999995,21.28604,14.15564175,19.0,7833068425.0,196.58555790000003,-7.032564922000001,25.286260000000002,68.067,-0.93511981,6240.666667,93.0,135.0,3.0,56.0,65.0,105.0,75.0,100.0,140.0,95.0,867.0,86.7
